ï..dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Country
31/03/2020,31,3,2020,0,0,Angola,AO,AGO,30809762,Angola
30/03/2020,30,3,2020,3,2,Angola,AO,AGO,30809762,Angola
29/03/2020,29,3,2020,0,0,Angola,AO,AGO,30809762,Angola
28/03/2020,28,3,2020,1,0,Angola,AO,AGO,30809762,Angola
27/03/2020,27,3,2020,1,0,Angola,AO,AGO,30809762,Angola
26/03/2020,26,3,2020,0,0,Angola,AO,AGO,30809762,Angola
25/03/2020,25,3,2020,0,0,Angola,AO,AGO,30809762,Angola
24/03/2020,24,3,2020,0,0,Angola,AO,AGO,30809762,Angola
23/03/2020,23,3,2020,0,0,Angola,AO,AGO,30809762,Angola
22/03/2020,22,3,2020,2,0,Angola,AO,AGO,30809762,Angola
31/03/2020,31,3,2020,57,2,Algeria,DZ,DZA,42228429,Algeria
30/03/2020,30,3,2020,45,3,Algeria,DZ,DZA,42228429,Algeria
29/03/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429,Algeria
28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429,Algeria
26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429,Algeria
25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429,Algeria
24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429,Algeria
23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429,Algeria
22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429,Algeria
20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429,Algeria
19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429,Algeria
18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429,Algeria
17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429,Algeria
16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429,Algeria
15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429,Algeria
14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429,Algeria
13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429,Algeria
12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429,Algeria
06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429,Algeria
05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429,Algeria
04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429,Algeria
02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429,Algeria
01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
